panID	best_hit_s288c	type	Note
5-EC1118_1F14_0056g	YBR019C	nonORF based on ref genome	
11-EC1118_1F14_0144g	YEL071W	nonORF based on ref genome	
12-EC1118_1F14_0155g	YJR149W	nonORF based on ref genome	
13-EC1118_1N26_0012g	YKL215C	nonORF based on ref genome	
21-EC1118_1O4_6524g	YHR008C	nonORF based on ref genome	
23-EC1118_1O4_6546g	YEL070W,YNR073C	nonORF based on ref genome	same function for these two hits
24-EC1118_1O4_6557g	YEL069C	nonORF based on ref genome	
25-EC1118_1O4_6568g	YDR384C	nonORF based on ref genome	
28-EC1118_1O4_6623g	YJR159W	nonORF based on ref genome	
59-augustus_masked-1113-BMC_1	YFL055W	nonORF based on ref genome	
64-augustus_masked-11538-CPG_1	YFL018C	nonORF based on ref genome	
65-augustus_masked-11538-CPG_1	YFL017C	nonORF based on ref genome	
73-augustus_masked-1166-YCM	YNL331C	nonORF based on ref genome	
75-augustus_masked-11951-BDM_5	YCR028C	nonORF based on ref genome	
87-augustus_masked-125-YCE	YDR384C	nonORF based on ref genome	
90-augustus_masked-1265-AHB_2	YGR287C	nonORF based on ref genome	
93-augustus_masked-1266-AHB_2	YCR005C	nonORF based on ref genome	
100-augustus_masked-1375-CFF_4	YIL162W	nonORF based on ref genome	
103-augustus_masked-1449-AAT_3	YJR155W	nonORF based on ref genome	
104-augustus_masked-1452-AAT_3	YMR323W	nonORF based on ref genome	
108-augustus_masked-1649-AIE_1	YER065C	nonORF based on ref genome	
110-augustus_masked-1649-AIE_1	YER062C	nonORF based on ref genome	
111-augustus_masked-1649-AIE_1	YER061C	nonORF based on ref genome	
115-augustus_masked-1654-AIE_1	YGL040C	nonORF based on ref genome	
116-augustus_masked-1659-AIE_1	YEL071W	nonORF based on ref genome	
118-augustus_masked-1661-AIE_1	YDR531W	nonORF based on ref genome	
120-augustus_masked-1671-AIE_1	YIL013C	nonORF based on ref genome	
125-augustus_masked-1689-AIE_1	YJR153W	nonORF based on ref genome	
130-augustus_masked-1697-AIE_1	YDL238C	nonORF based on ref genome	
132-augustus_masked-1697-AIE_1	YNL331C	nonORF based on ref genome	
134-augustus_masked-1700-AIE_1	YPR156C	nonORF based on ref genome	
148-augustus_masked-1999-AID_2	YDR343C,YDR342C	nonORF based on ref genome	same function for these two hits
150-augustus_masked-2075-ARN_6	YFL053W	nonORF based on ref genome	
157-augustus_masked-2154-BRV_4	YBR295W	nonORF based on ref genome	
161-augustus_masked-2311-AKE_3	YBR093C	nonORF based on ref genome	
165-augustus_masked-2358-ARB_2	YLR027C	nonORF based on ref genome	
166-augustus_masked-2358-ARB_2	YPL265W	nonORF based on ref genome	
170-augustus_masked-2392-BTV_5	YFR055W	nonORF based on ref genome	
178-augustus_masked-2804-CPI_4	YNL256W	nonORF based on ref genome	
179-augustus_masked-2806-CPI_4	YHR208W	nonORF based on ref genome	
184-augustus_masked-2814-CPI_4	YHL012W	nonORF based on ref genome	
187-augustus_masked-2814-CPI_4	YHL011C	nonORF based on ref genome	
